City,County
Stanton,Montgomery
Stanwood,Cedar
State Center,Marshall
Steamboat Rock,Hardin
Stockport,Van Buren
Stockton,Muscatine
Storm Lake,Buena Vista
Story City,Story
Stout,Grundy
Stratford,Hamilton
Strawberry Point,Clayton
Struble,Plymouth
Stuart,Guthrie
Sully,Jasper
Sumner,Bremer
Superior,Dickinson
Sutherland,O'Brien
Swaledale,Cerro Gordo
Swan,Marion
Swea City,Kossuth
Swisher,Johnson
Tabor,Fremont
Tama,Tama
Templeton,Carroll
Tennant,Shelby
Terril,Dickinson
Thayer,Union
Thompson,Winnebago
Thor,Humboldt
Thornburg,Keokuk
Thornton,Cerro Gordo
Thurman,Fremont
Tiffin,Johnson
Tingley,Ringgold
Tipton,Cedar
Titonka,Kossuth
Toledo,Tama
Toronto,Clinton
Traer,Tama
Treynor,Pottawattamie
Tripoll,Bremer
Truesdale,Buena Vista
Truro,Madison
Turin,Monona
Udell,Appanoose
Underwood,Pottawattamie
Union,Hardin
Unionville,Appanoose
University Heights,Johnson
University Park,Mahaska
Urbana,Benton
Urbandale,Polk
Ute,Monona
Valeria,Jasper
Vail,Crawford
Van Horne,Benton
Van Meter,Dallas
Van Wert,Decatur
Varina,Pocahontas
Vedic City,Jefferson
Ventura,Cerro Gordo
Victor,lowa
Villisca,Montgomery
Vincent,Webster
Vining,Tama
Vinton,Benton
Volga,Clayton
Wadena,Fayette
Wahpeton,Dickinson
Walcott,Scott
Walford,Benton
Walker,Linn
Wallingford,Emmet
Wall Lake,Sac
Walnut,Pottawattarmie
Wapello,Louisa
Washington,Washington
Washta,Cherokee
Waterloo,Black Hawk
Waterville,Allamakee
Waucoma,Fayette
Waukee,Dallas
Waukon,Allamakee
Waverly,Bremer
Wayland,Henry
Webb,Clay
Webster,Keokuk
Webster City,Hamilton
Weldon,Decatur
Wellman,Washington
Wellsburg,Grundy
Welton,Clinton
Wesley,Kossuth
West Bend,Palo Alto
West Branch,Cedar
West Burlington,Des Moines
West Chester,Washington
West Des Moines,Polk
Westfield,Plymouth
Westgate,Fayette
West Liberty,Muscatine
West Okoboji,Dickinson
Westphalia,Shelby
West Point,Lee
Westside,Crawford
West Union,Fayette
Westwood,Henry
What Cheer,Keokuk
Wheatland,Clinton
Whitten,Hardin
Whiting,Monona
Whittemore,Kossuth
Willey,Carroll
Williams,Hamilton
Williamsburg,lowa
Williamson,Lucas
Wilton,Muscatine
Windsor Heights,Polk
Winfield,Henry
Winterset,Madison
Winthrop,Buchanan
Wiota,Cass
Woden,Hancock
Woodbine,Harrison
Woodburn,Clarke
Woodward,Dallas
Woolstock,Wright
Worthington,Dubuque
Wyoming,Jones
Yale,Guthrie
Yetter,Calhoun
Yorktown,Page
Zearing,Story
Zwingle,Dubuque
